UC -- FEAT Traceability Matrix  (condensed),1：教师信息  2：学生信息  3：课程信息  4：账号密码 5：交流论坛 6：课程答疑  8：管理中心
UC4: 管理员用例: ,
UC4.1: 登陆: ,FEAT4
UC4.2: 注销: ,FEAT4
UC4.3: 修改密码: ,FEAT4
UC4.4: 用户信息管理: ,FEAT8
UC4.4.1: 教师信息管理: ,FEAT8
UC4.4.1.1: 新增教师信息: ,FEAT8
UC4.4.1.2: 删除教师信息: ,FEAT8
UC4.4.1.3: 教师密码修改: ,FEAT8
UC4.4.1.4: 修改教师信息: ,FEAT8
UC4.4.1.5: 修改教师头像: ,FEAT8
UC4.4.1.6: 教师任命为管理员: ,FEAT8
UC4.4.1.7: 教师管理员被取消任命: ,FEAT8
UC4.4.1.8: 教师信息按特殊身份排序: ,FEAT8
UC4.4.2: 学生信息管理: ,FEAT8
UC4.4.2.1: 新增学生信息: ,FEAT8
UC4.4.2.2: 删除学生信息: ,FEAT8
UC4.4.2.3: 学生密码修改: ,FEAT8
UC4.4.2.4: 修改学生信息: ,FEAT8
UC4.4.2.5: 修改学生头像: ,FEAT8
UC4.4.2.6: 学生任命为管理员: ,FEAT8
UC4.4.2.7: 学生管理员被取消任命: ,FEAT8
UC4.4.2.8: 学生信息按特殊身份排序: ,FEAT8
UC4.5: 用户信息搜索: ,FEAT8
UC4.5.1: 按帐号搜索: ,FEAT8
UC4.5.2: 按姓名搜索: ,FEAT8
UC4.5.3: 按特殊身份搜索: ,FEAT8
UC4.5.4: 学生按学号搜索: ,FEAT8
UC4.5.5: 教师按教工号搜索: ,FEAT8
UC4.6: 课程管理: ,FEAT8
UC4.6.1: 新增课程: ,FEAT8
UC4.6.2: 删除课程: ,FEAT8
UC4.6.3: 修改课程信息: ,FEAT8
UC4.6.4: 上传课程资料: ,FEAT8
UC4.6.5: 下载课程资料: ,FEAT8
UC4.6.6: 删除课程资料: ,FEAT8
UC4.7: 注册审核: ,FEAT8
UC4.8: 课程审核: ,FEAT8
UC4.8.1: 课程新增审核: ,FEAT8
UC4.8.2: 课程删除审核: ,FEAT8
UC4.9: 交流论坛交流帖管理: ,FEAT8
UC4.9.1: 删除交流帖: ,FEAT8
UC4.9.2: 置顶交流帖: ,FEAT8
UC4.9.3: 取消置顶交流帖: ,FEAT8
UC4.10: 课程论坛交流帖管理: ,FEAT8
UC4.10.1: 删除交流帖: ,FEAT8
UC4.10.2: 置顶交流帖: ,FEAT8
UC4.10.3: 取消置顶交流帖: ,FEAT8
UC4.11: 链接管理: ,FEAT8
UC4.11.1: 移动链接: ,FEAT8
UC4.11.2: 新增链接: ,FEAT8
UC4.11.3: 删除链接: ,FEAT8
UC4.11.4: 修改链接: ,FEAT8
UC4.12: 记录日志管理: ,FEAT8
UC4.12.1: 记录日志查看: ,FEAT8
UC4.12.2: 记录日志下载: ,FEAT8
UC4.12.3: 记录日志删除: ,FEAT8
UC4.12.4: 记录日志在全部时间下搜索: ,FEAT8
UC4.12.5: 记录日志在预设时间下搜索: ,FEAT8
UC4.12.6: 查看今日日志: ,FEAT8
UC4.13: 通知管理: ,FEAT8
UC4.13.1: 发布新通知: ,FEAT8
UC4.13.2: 通知删除: ,FEAT8
UC4.13.3: 通知在全部时间下搜索: ,FEAT8
UC4.13.4: 通知在预设时间下搜索: ,FEAT8
UC4.13.5: 查看通知详情: ,FEAT8
UC4.14: 修改滚动模块: ,FEAT8
UC4.15: 信息备份: ,FEAT8
UC4.16: 查看备份详细信息: ,FEAT8
UC4.17: 查看信息: ,
UC4.17.1: 查看课程信息: ,FEAT3
UC4.17.2: 查看教师信息: ,FEAT1
UC4.17.3: 查看历史课程通知: ,FEAT3
UC4.17.4: 查看通知详细信息: ,FEAT3
UC4.17.5: 查看网站链接信息: ,
UC4.17.6: 查看课程链接信息: ,FEAT3
UC4.17.7: 查看课程内论坛交流帖: ,FEAT5
UC4.17.8: 课程内论坛交流帖排序: ,FEAT5
UC4.17.9: 查看交流论坛交流帖: ,FEAT5
UC4.17.10: 交流论坛交流帖排序: ,FEAT5
UC4.17.11: 查看网站通知: ,
UC4.17.12: 查看历史答疑记录: ,FEAT6
UC4.18: 站内搜索: ,
UC4.18.1: 课程信息搜索: ,FEAT3
UC4.18.2: 教师信息搜索: ,FEAT1
UC4.18.3: 论坛信息搜索: ,FEAT5
UC4.18.4: 课程内信息搜索: ,FEAT3
UC5: 游客用例: ,
UC5.1: 游客注册成学生: ,
UC5.2: 游客注册成教师: ,
UC5.3: 游客浏览主界面: ,
